mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes,None of these,XY sex chromosomes (I),XY sex chromosomes (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon (II),Axon (I),None of these,Axon,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),None of these,Nephron,Nephron (I),Nephron (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (II),Speciation (I),Speciation,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda (I),Arthropoda (II),Arthropoda,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda,Arthropoda (I),None of these,Arthropoda (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (I),Nephron,None of these,Nephron (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (II),None of these,Nephron,Nephron (I),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),None of these,Nephron (II),Nephron,Nephron (I),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda,Arthropoda (I),Arthropoda (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda (I),Arthropoda (II),Arthropoda,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda,None of these,Arthropoda (I),Arthropoda (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon,None of these,Axon (II),Axon (I),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon,None of these,Axon (I),Axon (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda (II),None of these,Arthropoda (I),Arthropoda,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),None of these,XY sex chromosomes,XY sex chromosomes (I),XY sex chromosomes (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron,Nephron (I),Nephron (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon,Axon (II),None of these,Axon (I),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (I),None of these,Speciation,Speciation (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (I),Nephron (II),Nephron,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes (I),None of these,XY sex chromosomes,XY sex chromosomes (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (I),Speciation,Speciation (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (II),Nephron,Nephron (I),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (II),Nephron,Nephron (I),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (II),Speciation,Speciation (I),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon (I),Axon (II),Axon,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes (II),None of these,XY sex chromosomes (I),XY sex chromosomes,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),None of these,Axon (II),Axon (I),Axon,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (I),None of these,Speciation,Speciation (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),None of these,Arthropoda,Arthropoda (I),Arthropoda (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon (I),Axon,Axon (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes,XY sex chromosomes (I),None of these,XY sex chromosomes (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda (I),Arthropoda,Arthropoda (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The functional unit of kidney is? (name),Nephron (I),None of these,Nephron (II),Nephron,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which phylum has segmented body and jointed appendages? (phylum),Arthropoda,Arthropoda (II),Arthropoda (I),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon (II),Axon,None of these,Axon (I),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Which part of neuron conducts impulse away from the cell body? (part),Axon (I),Axon (II),Axon,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (I),Speciation,None of these,Speciation (II),1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,The process by which new species arise is called? (term),Speciation (I),Speciation (II),Speciation,None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes,XY sex chromosomes (II),XY sex chromosomes (I),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Zoology,Sex determination in humans depends on which chromosome? (human),XY sex chromosomes (I),XY sex chromosomes (II),None of these,XY sex chromosomes,1,Solution not provided.,4,-1
